eevee 223 187,https://www.cardrush-pokemon.jp/product/62024,"Mid Value, Super Popular, Alt Arts"
eevee 224 187,https://www.cardrush-pokemon.jp/product/62025,"Mid Value, Super Popular, Alt Arts"
leafeon 200 187,https://www.cardrush-pokemon.jp/product/62001,"Mid Value, Super Popular, Alt Arts"
flareon 202 187,https://www.cardrush-pokemon.jp/product/62003,"Mid Value, Super Popular, Alt Arts"
vaporeon 205 187,https://www.cardrush-pokemon.jp/product/62006,"Mid Value, Super Popular, Alt Arts, High Value"
glaceon 206 187,https://www.cardrush-pokemon.jp/product/62007,"Mid Value, Super Popular, Alt Arts, High Value"
jolteon 209 187,https://www.cardrush-pokemon.jp/product/62010,"Mid Value, Super Popular, Alt Arts"
espeon 211 187,https://www.cardrush-pokemon.jp/product/62012,"Super Popular, Alt Arts, High Value"
sylveon 212 186,https://www.cardrush-pokemon.jp/product/62013,"Super Popular, Alt Arts, High Value"
umbreon 217 187,https://www.cardrush-pokemon.jp/product/62018,"Super Popular, Alt Arts, High Value"
saw blaze 203 187,https://www.cardrush-pokemon.jp/product/62004,"Alt Arts, ARs, Ultra Cheap Bangers"
palafin 207 187,https://www.cardrush-pokemon.jp/product/62008,"Alt Arts, ARs, Ultra Cheap Bangers"
Gholdengo 220 187,https://www.cardrush-pokemon.jp/product/62021,"Alt Arts, ARs, Ultra Cheap Bangers"
roaring moon 218 187,https://www.cardrush-pokemon.jp/product/62019,"Alt Arts, ARs, Ultra Cheap Bangers"
magneton 215 187,https://www.cardrush-pokemon.jp/product/62016,"Alt Arts, ARs, Ultra Cheap Bangers"
dragapult 221 187,https://www.cardrush-pokemon.jp/product/62022,"Alt Arts, ARs, Mid Value"
raging bolt 222 187,https://www.cardrush-pokemon.jp/product/62023,"Alt Arts, ARs, Mid Value"
bloodmoon ursaluna 225 187,https://www.cardrush-pokemon.jp/product/62026,"Alt Arts, ARs, Mid Value"
terapagos 226 187,https://www.cardrush-pokemon.jp/product/62027,"Alt Arts, ARs, Ultra Cheap Bangers"
lacey 231 187,https://www.cardrush-pokemon.jp/product/62032,"Alt Arts, ARs, Ultra Cheap Bangers"
pikachu ex 236 187,https://www.cardrush-pokemon.jp/product/62037,"Mid Value, Super Popular"
eevee 126 187,https://www.cardrush-pokemon.jp/product/61524,"Super Popular, Ultra Cheap Bangers"
leafeon 003 187,https://www.cardrush-pokemon.jp/product/61401,"Super Popular, Ultra Cheap Bangers"
flareon 022 187,https://www.cardrush-pokemon.jp/product/61420,"Super Popular, Ultra Cheap Bangers"
vaporeon 031 187,https://www.cardrush-pokemon.jp/product/61429,"Super Popular, Ultra Cheap Bangers"
glaceon 041 187,https://www.cardrush-pokemon.jp/product/61439,"Super Popular, Ultra Cheap Bangers"
jolteon 052 187,https://www.cardrush-pokemon.jp/product/61450,"Super Popular, Ultra Cheap Bangers"
espeon 063 187,https://www.cardrush-pokemon.jp/product/61461,"Super Popular, Ultra Cheap Bangers"
sylveon 069 187,https://www.cardrush-pokemon.jp/product/61467,"Super Popular, Ultra Cheap Bangers"
umbreon 093 187,https://www.cardrush-pokemon.jp/product/61491,"Super Popular, Ultra Cheap Bangers"
Iono's Kilowattrel  104 100,https://www.cardrush-pokemon.jp/product/63613,"Ultra Cheap Bangers, ARs"
Lillie's Ribombee 105 100,https://www.cardrush-pokemon.jp/product/63614, ARs
N's zorua 108 100,https://www.cardrush-pokemon.jp/product/63617, ARs
articuno 102/100,https://www.cardrush-pokemon.jp/product/63611,"Super Popular, ARs, Ultra Cheap Bangers"
maractus 101 100,https://www.cardrush-pokemon.jp/product/63610,"ARs, Ultra Cheap Bangers"
Hop's Wooloo 112 100,https://www.cardrush-pokemon.jp/product/63621,"ARs, Ultra Cheap Bangers"
N's reshiram 109 100 ,https://www.cardrush-pokemon.jp/product/63618,"ARs, Ultra Cheap Bangers"
wailord 103 100,https://www.cardrush-pokemon.jp/product/63612,"ARs, Ultra Cheap Bangers"
swinub 106 100,https://www.cardrush-pokemon.jp/product/63615,"ARs, Ultra Cheap Bangers"
lycanroc 107 100,https://www.cardrush-pokemon.jp/product/63616,"ARs, Ultra Cheap Bangers"
furret 110 100,https://www.cardrush-pokemon.jp/product/63619,"ARs, Ultra Cheap Bangers"
noibat 111 100,https://www.cardrush-pokemon.jp/product/63620,"ARs, Ultra Cheap Bangers"
salamence 129 100,https://www.cardrush-pokemon.jp/product/63638,"Mid Value, Alt Arts"
volcanion 124 100,https://www.cardrush-pokemon.jp/product/63633,"Mid Value, Alt Arts"
hop's zacian 128 100,https://www.cardrush-pokemon.jp/product/63637,"Mid Value, Alt Arts"
N's zoroark 127 100,https://www.cardrush-pokemon.jp/product/63636,"High Value, Alt Arts"
Lillie's Clefairy 126 100,https://www.cardrush-pokemon.jp/product/63635,"High Value, Alt Arts, Super Popular"
Iono's Bellibolt 125 100,https://www.cardrush-pokemon.jp/product/63634,"High Value, Alt Arts, Super Popular"
Iono's Bellibolt 130 101,https://www.cardrush-pokemon.jp/product/63639,High Value
N's Zoroark 131 100,https://www.cardrush-pokemon.jp/product/63640,High Value
